var,coef
age,.61872637
agesq,-.0056559341
50b.zempt#2012b.year,0
50b.zempt#2013.year,.14267178
50b.zempt#2014.year,.26221099
50b.zempt#2015.year,.44501799
50b.zempt#2016.year,.026301526
50b.zempt#2017.year,.32236964
50b.zempt#2018.year,.52950823
50b.zempt#2019.year,-.47958896
51.zempt#2012b.year,-.19370458
51.zempt#2013.year,.2147114
51.zempt#2014.year,.55185884
51.zempt#2015.year,.63102669
51.zempt#2016.year,.059454598
51.zempt#2017.year,.19844589
51.zempt#2018.year,1.0141464
51.zempt#2019.year,-.031550638
52.zempt#2012b.year,-1.0129582
52.zempt#2013.year,.065185137
52.zempt#2014.year,.024420017
52.zempt#2015.year,.10862862
52.zempt#2016.year,-.32049528
52.zempt#2017.year,.37797034
52.zempt#2018.year,.90334177
52.zempt#2019.year,-.39310476
53.zempt#2012b.year,-.23046941
53.zempt#2013.year,1.0689456
53.zempt#2014.year,1.03834
53.zempt#2015.year,1.0685977
53.zempt#2016.year,.31310475
53.zempt#2017.year,.86954719
53.zempt#2018.year,1.3128272
53.zempt#2019.year,.5516243
54.zempt#2012b.year,-.025401168
54.zempt#2013.year,-.24566089
54.zempt#2014.year,.12649025
54.zempt#2015.year,.15640475
54.zempt#2016.year,-.43116599
54.zempt#2017.year,.68950623
54.zempt#2018.year,1.0834969
54.zempt#2019.year,.40493083
55.zempt#2012b.year,.25684616
55.zempt#2013.year,.26205653
55.zempt#2014.year,.30341718
55.zempt#2015.year,.28988227
55.zempt#2016.year,-.4287506
55.zempt#2017.year,.39547202
55.zempt#2018.year,1.0728682
55.zempt#2019.year,.56437683
56.zempt#2012b.year,3.09987
56.zempt#2013.year,3.2380047
56.zempt#2014.year,3.2412786
56.zempt#2015.year,3.3130977
56.zempt#2016.year,2.8567061
56.zempt#2017.year,3.2095366
56.zempt#2018.year,3.5160453
56.zempt#2019.year,2.401624
57.zempt#2012b.year,-.32780066
57.zempt#2013.year,.40630594
57.zempt#2014.year,.70368052
57.zempt#2015.year,.82691795
57.zempt#2016.year,-.0092687039
57.zempt#2017.year,.76782191
57.zempt#2018.year,1.2245669
57.zempt#2019.year,.24773888
59.zempt#2012b.year,1.3829229
59.zempt#2013.year,1.3967744
59.zempt#2014.year,1.4935249
59.zempt#2015.year,1.519733
59.zempt#2016.year,.95562261
59.zempt#2017.year,1.389835
59.zempt#2018.year,1.9430256
59.zempt#2019.year,.84369516
60.zempt#2012b.year,.24793331
60.zempt#2013.year,1.1776809
60.zempt#2014.year,1.390047
60.zempt#2015.year,1.4199754
60.zempt#2016.year,.63886702
60.zempt#2017.year,1.4687026
60.zempt#2018.year,1.8774348
60.zempt#2019.year,1.12771
61.zempt#2012b.year,2.9069023
61.zempt#2013.year,3.0261798
61.zempt#2014.year,3.2018008
61.zempt#2015.year,3.2765799
61.zempt#2016.year,1.9789748
61.zempt#2017.year,3.3418851
61.zempt#2018.year,3.8352282
61.zempt#2019.year,2.9877958
106.zempt#2012b.year,.18213437
106.zempt#2013.year,.25534111
106.zempt#2014.year,.2388656
106.zempt#2015.year,.41239053
106.zempt#2016.year,.24638632
106.zempt#2017.year,.097193345
106.zempt#2018.year,1.2086866
106.zempt#2019.year,-.017772708
1101.zempt#2012b.year,6.5550675
1101.zempt#2013.year,6.6848545
1101.zempt#2014.year,6.9958978
1101.zempt#2015.year,7.0506506
1101.zempt#2016.year,5.1110206
1101.zempt#2017.year,7.1970205
1101.zempt#2018.year,7.96244
1101.zempt#2019.year,7.4113755
1102.zempt#2012b.year,3.2984519
1102.zempt#2013.year,3.1749628
1102.zempt#2014.year,3.466151
1102.zempt#2015.year,3.4893553
1102.zempt#2016.year,2.4221206
1102.zempt#2017.year,3.4356127
1102.zempt#2018.year,3.9047399
1102.zempt#2019.year,3.1956487
1103.zempt#2012b.year,1.2310781
1103.zempt#2013.year,.71010131
1103.zempt#2014.year,1.0276843
1103.zempt#2015.year,1.6570059
1103.zempt#2016.year,.9037478
1103.zempt#2017.year,1.1512746
1103.zempt#2018.year,2.1248257
1103.zempt#2019.year,.97365266
1104.zempt#2012b.year,1.3074877
1104.zempt#2013.year,1.8292834
1104.zempt#2014.year,1.7316039
1104.zempt#2015.year,1.952217
1104.zempt#2016.year,1.2419317
1104.zempt#2017.year,1.6547348
1104.zempt#2018.year,1.6640455
1104.zempt#2019.year,.90584034
1105.zempt#2012b.year,2.5070601
1105.zempt#2013.year,2.584692
1105.zempt#2014.year,2.7813895
1105.zempt#2015.year,2.9386282
1105.zempt#2016.year,2.1335588
1105.zempt#2017.year,2.4609826
1105.zempt#2018.year,3.1789291
1105.zempt#2019.year,2.2058098
1106.zempt#2012b.year,.92011309
1106.zempt#2013.year,.84480673
1106.zempt#2014.year,.88988149
1106.zempt#2015.year,.88952529
1106.zempt#2016.year,.42736244
1106.zempt#2017.year,1.4821252
1106.zempt#2018.year,2.0809205
1106.zempt#2019.year,1.0252547
1107.zempt#2012b.year,2.1034198
1107.zempt#2013.year,2.1706598
1107.zempt#2014.year,1.8930837
1107.zempt#2015.year,1.9825048
1107.zempt#2016.year,1.2571874
1107.zempt#2017.year,1.376309
1107.zempt#2018.year,2.3276
1107.zempt#2019.year,1.2218783
1108.zempt#2012b.year,.21927221
1108.zempt#2013.year,-.30343929
1108.zempt#2014.year,.19469406
1108.zempt#2015.year,.62726712
1108.zempt#2016.year,-.32003173
1108.zempt#2017.year,.45868856
1108.zempt#2018.year,.48536137
1108.zempt#2019.year,.087890573
1109.zempt#2012b.year,2.2297266
1109.zempt#2013.year,2.1346955
1109.zempt#2014.year,1.7616919
1109.zempt#2015.year,1.3619859
1109.zempt#2016.year,1.9601853
1109.zempt#2017.year,1.6182468
1109.zempt#2018.year,1.7977499
1109.zempt#2019.year,1.2819014
1110.zempt#2012b.year,2.3965611
1110.zempt#2013.year,2.1468954
1110.zempt#2014.year,2.4468954
1110.zempt#2015.year,2.3382401
1110.zempt#2016.year,2.0668974
1110.zempt#2017.year,2.4682603
1110.zempt#2018.year,2.9850259
1110.zempt#2019.year,1.793642
1111.zempt#2012b.year,3.2099783
1111.zempt#2013.year,3.3388128
1111.zempt#2014.year,2.8302467
1111.zempt#2015.year,3.4333556
1111.zempt#2016.year,2.5901461
1111.zempt#2017.year,3.5586202
1111.zempt#2018.year,3.9780114
1111.zempt#2019.year,3.4953327
1112.zempt#2012b.year,2.5642657
1112.zempt#2013.year,3.3636479
1112.zempt#2014.year,3.1871934
1112.zempt#2015.year,2.8757937
1112.zempt#2016.year,2.0492175
1112.zempt#2017.year,2.6049058
1112.zempt#2018.year,3.1062069
1112.zempt#2019.year,2.1657341
1113.zempt#2012b.year,3.4435146
1113.zempt#2013.year,3.5660551
1113.zempt#2014.year,3.7237918
1113.zempt#2015.year,4.1709037
1113.zempt#2016.year,3.5602829
1113.zempt#2017.year,3.8205881
1113.zempt#2018.year,4.3640294
1113.zempt#2019.year,3.9090161
1114.zempt#2012b.year,2.5271304
1114.zempt#2013.year,2.4731047
1114.zempt#2014.year,3.1785688
1114.zempt#2015.year,2.9138527
1114.zempt#2016.year,1.4636904
1114.zempt#2017.year,2.5774646
1114.zempt#2018.year,3.0982161
1114.zempt#2019.year,2.4879663
1115.zempt#2012b.year,3.3995841
1115.zempt#2013.year,3.696502
1115.zempt#2014.year,3.623435
1115.zempt#2015.year,3.7262363
1115.zempt#2016.year,2.5113294
1115.zempt#2017.year,3.2651684
1115.zempt#2018.year,3.8660951
1115.zempt#2019.year,3.0890741
1116.zempt#2012b.year,5.2268796
1116.zempt#2013.year,5.3330541
1116.zempt#2014.year,5.4825239
1116.zempt#2015.year,5.6670136
1116.zempt#2016.year,3.8680975
1116.zempt#2017.year,5.71311
1116.zempt#2018.year,6.4242325
1116.zempt#2019.year,5.8177671
1117.zempt#2012b.year,2.0040851
1117.zempt#2013.year,2.2641461
1117.zempt#2014.year,2.4346581
1117.zempt#2015.year,2.4018984
1117.zempt#2016.year,1.6643418
1117.zempt#2017.year,2.2820094
1117.zempt#2018.year,2.6742401
1117.zempt#2019.year,1.856231
1118.zempt#2012b.year,3.6602352
1118.zempt#2013.year,3.8352382
1118.zempt#2014.year,4.0479794
1118.zempt#2015.year,4.2410583
1118.zempt#2016.year,3.4654772
1118.zempt#2017.year,3.8680081
1118.zempt#2018.year,4.5842915
1118.zempt#2019.year,3.8070159
1119.zempt#2012b.year,2.9439867
1119.zempt#2013.year,3.0802641
1119.zempt#2014.year,3.4423025
1119.zempt#2015.year,3.5574834
1119.zempt#2016.year,2.1777871
1119.zempt#2017.year,3.2354152
1119.zempt#2018.year,3.8565443
1119.zempt#2019.year,2.7725539
2101.zempt#2012b.year,.8623693
2101.zempt#2013.year,.806647
2101.zempt#2014.year,1.1230923
2101.zempt#2015.year,1.515134
2101.zempt#2016.year,.75133979
2101.zempt#2017.year,1.2987493
2101.zempt#2018.year,1.6327559
2101.zempt#2019.year,.57937223
2102.zempt#2012b.year,.48800689
2102.zempt#2013.year,.42079103
2102.zempt#2014.year,.73189968
2102.zempt#2015.year,1.0217317
2102.zempt#2016.year,.44534487
2102.zempt#2017.year,.94038284
2102.zempt#2018.year,1.4173793
2102.zempt#2019.year,.41557369
2103.zempt#2012b.year,.60993534
2103.zempt#2013.year,.77944994
2103.zempt#2014.year,1.1749063
2103.zempt#2015.year,.99173498
2103.zempt#2016.year,.37415904
2103.zempt#2017.year,1.3345383
2103.zempt#2018.year,1.4265094
2103.zempt#2019.year,.8636657
2104.zempt#2012b.year,1.7305093
2104.zempt#2013.year,1.702305
2104.zempt#2014.year,1.9910769
2104.zempt#2015.year,2.0659387
2104.zempt#2016.year,1.3778471
2104.zempt#2017.year,2.1312604
2104.zempt#2018.year,2.6645551
2104.zempt#2019.year,1.7514479
2105.zempt#2012b.year,1.4968741
2105.zempt#2013.year,1.7167611
2105.zempt#2014.year,1.6720361
2105.zempt#2015.year,1.8161134
2105.zempt#2016.year,1.2499262
2105.zempt#2017.year,1.8197347
2105.zempt#2018.year,2.4741576
2105.zempt#2019.year,1.5294341
2106.zempt#2012b.year,.45120794
2106.zempt#2013.year,.178896
2106.zempt#2014.year,.18459176
2106.zempt#2015.year,.22641961
2106.zempt#2016.year,-.14415255
2106.zempt#2017.year,.28817862
2106.zempt#2018.year,.84322995
2106.zempt#2019.year,.29835063
2107.zempt#2012b.year,.5215084
2107.zempt#2013.year,.79815149
2107.zempt#2014.year,1.0059777
2107.zempt#2015.year,.63413203
2107.zempt#2016.year,-.11335223
2107.zempt#2017.year,.39816457
2107.zempt#2018.year,.78248018
2107.zempt#2019.year,.39575747
2201.zempt#2012b.year,.7609607
2201.zempt#2013.year,.7360301
2201.zempt#2014.year,.50493693
2201.zempt#2015.year,.85700244
2201.zempt#2016.year,-.12028478
2201.zempt#2017.year,1.1632236
2201.zempt#2018.year,1.6478335
2201.zempt#2019.year,.0034718041
2202.zempt#2012b.year,1.0921324
2202.zempt#2013.year,1.0569355
2202.zempt#2014.year,1.6593695
2202.zempt#2015.year,1.2868177
2202.zempt#2016.year,.92735928
2202.zempt#2017.year,1.1475974
2202.zempt#2018.year,1.3929199
2202.zempt#2019.year,.59854257
2203.zempt#2012b.year,-.066446573
2203.zempt#2013.year,.46938297
2203.zempt#2014.year,.51165897
2203.zempt#2015.year,.92175543
2203.zempt#2016.year,-.37776041
2203.zempt#2017.year,.53567821
2203.zempt#2018.year,.94303393
2203.zempt#2019.year,.73452932
2204.zempt#2012b.year,.252895
2204.zempt#2013.year,.59782785
2204.zempt#2014.year,.34841093
2204.zempt#2015.year,.89856315
2204.zempt#2016.year,.25085393
2204.zempt#2017.year,.78903735
2204.zempt#2018.year,.82614118
2204.zempt#2019.year,-.0068697804
2205.zempt#2012b.year,.74615192
2205.zempt#2013.year,.80473071
2205.zempt#2014.year,.88196075
2205.zempt#2015.year,1.0641918
2205.zempt#2016.year,.29648104
2205.zempt#2017.year,.72743183
2205.zempt#2018.year,1.3706098
2205.zempt#2019.year,.27661788
2206.zempt#2012b.year,.37695494
2206.zempt#2013.year,.85422909
2206.zempt#2014.year,1.016479
2206.zempt#2015.year,1.1555605
2206.zempt#2016.year,.45046651
2206.zempt#2017.year,.87327564
2206.zempt#2018.year,1.2681134
2206.zempt#2019.year,.34555072
2207.zempt#2012b.year,1.4585342
2207.zempt#2013.year,1.5320125
2207.zempt#2014.year,1.527082
2207.zempt#2015.year,1.7001638
2207.zempt#2016.year,.52397203
2207.zempt#2017.year,1.5756543
2207.zempt#2018.year,2.1106024
2207.zempt#2019.year,1.2343916
2208.zempt#2012b.year,1.6798773
2208.zempt#2013.year,1.6746448
2208.zempt#2014.year,2.0999479
2208.zempt#2015.year,2.0877001
2208.zempt#2016.year,1.4051901
2208.zempt#2017.year,2.1419787
2208.zempt#2018.year,2.7506113
2208.zempt#2019.year,1.8780304
2209.zempt#2012b.year,.18356957
2209.zempt#2013.year,.078704163
2209.zempt#2014.year,.17087819
2209.zempt#2015.year,.7996431
2209.zempt#2016.year,-.39112568
2209.zempt#2017.year,.22624047
2209.zempt#2018.year,.78903437
2209.zempt#2019.year,-.44080117
2210.zempt#2012b.year,1.2349061
2210.zempt#2013.year,1.3348227
2210.zempt#2014.year,1.4663018
2210.zempt#2015.year,1.4393909
2210.zempt#2016.year,.90543032
2210.zempt#2017.year,1.6635506
2210.zempt#2018.year,1.9576993
2210.zempt#2019.year,1.0883416
2211.zempt#2012b.year,.29811245
2211.zempt#2013.year,1.0024979
2211.zempt#2014.year,1.0581676
2211.zempt#2015.year,1.0540951
2211.zempt#2016.year,.55873334
2211.zempt#2017.year,1.0652468
2211.zempt#2018.year,1.6373643
2211.zempt#2019.year,.55869299
2301.zempt#2012b.year,.55691868
2301.zempt#2013.year,1.3583683
2301.zempt#2014.year,1.1150085
2301.zempt#2015.year,1.3902951
2301.zempt#2016.year,.74933732
2301.zempt#2017.year,1.1016283
2301.zempt#2018.year,1.6727765
2301.zempt#2019.year,1.2329797
2302.zempt#2012b.year,1.2327937
2302.zempt#2013.year,1.181815
2302.zempt#2014.year,1.6430355
2302.zempt#2015.year,1.6615384
2302.zempt#2016.year,.544164
2302.zempt#2017.year,1.40555
2302.zempt#2018.year,1.6788619
2302.zempt#2019.year,.87043417
2303.zempt#2012b.year,.73735595
2303.zempt#2013.year,1.1294099
2303.zempt#2014.year,.96187252
2303.zempt#2015.year,1.2676971
2303.zempt#2016.year,.99349493
2303.zempt#2017.year,.42802614
2303.zempt#2018.year,.93505877
2303.zempt#2019.year,.062785208
2304.zempt#2012b.year,1.7387447
2304.zempt#2013.year,1.9180309
2304.zempt#2014.year,1.8036013
2304.zempt#2015.year,2.1386235
2304.zempt#2016.year,1.2223958
2304.zempt#2017.year,2.2444119
2304.zempt#2018.year,2.6230557
2304.zempt#2019.year,1.543499
2305.zempt#2012b.year,1.2861371
2305.zempt#2013.year,.44200948
2305.zempt#2014.year,1.3210472
2305.zempt#2015.year,1.7771509
2305.zempt#2016.year,1.5680293
2305.zempt#2017.year,1.313074
2305.zempt#2018.year,2.1405249
2305.zempt#2019.year,1.2412728
2306.zempt#2012b.year,2.0914848
2306.zempt#2013.year,2.5430305
2306.zempt#2014.year,2.5606306
2306.zempt#2015.year,2.6848414
2306.zempt#2016.year,2.1888409
2306.zempt#2017.year,2.5159082
2306.zempt#2018.year,3.2142637
2306.zempt#2019.year,2.4694493
2307.zempt#2012b.year,1.7058698
2307.zempt#2013.year,1.8546284
2307.zempt#2014.year,1.968899
2307.zempt#2015.year,1.9682151
2307.zempt#2016.year,1.4114127
2307.zempt#2017.year,1.9954063
2307.zempt#2018.year,2.4558554
2307.zempt#2019.year,1.6590736
2401.zempt#2012b.year,.95975411
2401.zempt#2013.year,.82735699
2401.zempt#2014.year,1.0876474
2401.zempt#2015.year,1.0524489
2401.zempt#2016.year,.29424897
2401.zempt#2017.year,1.0140671
2401.zempt#2018.year,1.6461143
2401.zempt#2019.year,.92733455
2402.zempt#2012b.year,-.0018320704
2402.zempt#2013.year,.61569262
2402.zempt#2014.year,.71661347
2402.zempt#2015.year,-.25935826
2402.zempt#2016.year,-.6299361
2402.zempt#2017.year,-.16762973
2402.zempt#2018.year,.1452985
2402.zempt#2019.year,-.64434314
2403.zempt#2012b.year,.057846315
2403.zempt#2013.year,.24984135
2403.zempt#2014.year,.039069541
2403.zempt#2015.year,.56191158
2403.zempt#2016.year,-.31374672
2403.zempt#2017.year,.1966249
2403.zempt#2018.year,.50680214
2403.zempt#2019.year,-.083701655
2404.zempt#2012b.year,1.3952314
2404.zempt#2013.year,1.8271983
2404.zempt#2014.year,1.7683628
2404.zempt#2015.year,1.8782047
2404.zempt#2016.year,1.290342
2404.zempt#2017.year,1.855978
2404.zempt#2018.year,2.3207507
2404.zempt#2019.year,1.4661587
2405.zempt#2012b.year,.47913441
2405.zempt#2013.year,.7427361
2405.zempt#2014.year,.51042831
2405.zempt#2015.year,1.10879
2405.zempt#2016.year,-.29110971
2405.zempt#2017.year,.45801103
2405.zempt#2018.year,.53922576
2405.zempt#2019.year,.15811843
2406.zempt#2012b.year,.98944235
2406.zempt#2013.year,1.404287
2406.zempt#2014.year,1.4402823
2406.zempt#2015.year,1.6594189
2406.zempt#2016.year,.78774363
2406.zempt#2017.year,1.4711131
2406.zempt#2018.year,1.9645966
2406.zempt#2019.year,1.0137676
2407.zempt#2012b.year,-.87410301
2407.zempt#2013.year,-.72157449
2407.zempt#2014.year,-1.020049
2407.zempt#2015.year,-.52740341
2407.zempt#2016.year,-.82393581
2407.zempt#2017.year,-.2650997
2407.zempt#2018.year,.091161028
2407.zempt#2019.year,-.33573502
2408.zempt#2012b.year,-.28139752
2408.zempt#2013.year,.59554368
2408.zempt#2014.year,.56323415
2408.zempt#2015.year,.76714641
2408.zempt#2016.year,.94860917
2408.zempt#2017.year,.88371259
2408.zempt#2018.year,1.4602855
2408.zempt#2019.year,1.2135144
2409.zempt#2012b.year,.25773257
2409.zempt#2013.year,.1503797
2409.zempt#2014.year,.20952591
2409.zempt#2015.year,.43404591
2409.zempt#2016.year,-.33187613
2409.zempt#2017.year,.27482051
2409.zempt#2018.year,.95932615
2409.zempt#2019.year,-.095823094
2410.zempt#2012b.year,2.9391239
2410.zempt#2013.year,1.10519
2410.zempt#2014.year,3.7634048
2410.zempt#2015.year,3.3934851
2410.zempt#2016.year,2.9766526
2410.zempt#2017.year,2.9845762
2410.zempt#2018.year,3.6195433
2410.zempt#2019.year,2.2810802
2411.zempt#2012b.year,-.91234267
2411.zempt#2013.year,-.44905549
2411.zempt#2014.year,.3993403
2411.zempt#2015.year,.49068788
2411.zempt#2016.year,-.78601074
2411.zempt#2017.year,-.2988036
2411.zempt#2018.year,-.25886047
2411.zempt#2019.year,-.67578304
2412.zempt#2012b.year,1.1607552
2412.zempt#2013.year,1.3130063
2412.zempt#2014.year,1.6025664
2412.zempt#2015.year,1.5965748
2412.zempt#2016.year,.98464876
2412.zempt#2017.year,1.715573
2412.zempt#2018.year,2.2257369
2412.zempt#2019.year,1.3334261
2413.zempt#2012b.year,1.1351291
2413.zempt#2013.year,1.1509517
2413.zempt#2014.year,1.085014
2413.zempt#2015.year,1.2555784
2413.zempt#2016.year,.39623868
2413.zempt#2017.year,1.0052933
2413.zempt#2018.year,1.5862845
2413.zempt#2019.year,.71017754
2414.zempt#2012b.year,-.4353539
2414.zempt#2013.year,.1071786
2414.zempt#2014.year,.62742758
2414.zempt#2015.year,.60415524
2414.zempt#2016.year,-.042162195
2414.zempt#2017.year,.21784356
2414.zempt#2018.year,.97844201
2414.zempt#2019.year,-.31170541
2415.zempt#2012b.year,.15597101
2415.zempt#2013.year,.41715452
2415.zempt#2014.year,.46096843
2415.zempt#2015.year,.86298513
2415.zempt#2016.year,-.13512728
2415.zempt#2017.year,.70890087
2415.zempt#2018.year,.76874876
2415.zempt#2019.year,.039454639
2416.zempt#2012b.year,1.6474661
2416.zempt#2013.year,.8377561
2416.zempt#2014.year,2.642345
2416.zempt#2015.year,2.6521356
2416.zempt#2016.year,2.1041362
2416.zempt#2017.year,2.4122391
2416.zempt#2018.year,3.0766733
2416.zempt#2019.year,2.2796736
2417.zempt#2012b.year,.88466001
2417.zempt#2013.year,.76399434
2417.zempt#2014.year,.98271626
2417.zempt#2015.year,.90868056
2417.zempt#2016.year,.2085346
2417.zempt#2017.year,.85408658
2417.zempt#2018.year,1.3870734
2417.zempt#2019.year,.92965281
2418.zempt#2012b.year,1.5994952
2418.zempt#2013.year,1.7778039
2418.zempt#2014.year,1.9456637
2418.zempt#2015.year,2.0108578
2418.zempt#2016.year,1.0743831
2418.zempt#2017.year,1.9184718
2418.zempt#2018.year,2.3103018
2418.zempt#2019.year,1.423918
2419.zempt#2012b.year,.55682546
2419.zempt#2013.year,1.081202
2419.zempt#2014.year,1.5973912
2419.zempt#2015.year,1.9044306
2419.zempt#2016.year,.61216408
2419.zempt#2017.year,1.0970244
2419.zempt#2018.year,1.3817952
2419.zempt#2019.year,.71233857
2501.zempt#2012b.year,-.033610038
2501.zempt#2013.year,.48120353
2501.zempt#2014.year,.22763318
2501.zempt#2015.year,.43598619
2501.zempt#2016.year,.40409699
2501.zempt#2017.year,.57259649
2501.zempt#2018.year,.78665602
2501.zempt#2019.year,.47903833
2502.zempt#2012b.year,.85586762
2502.zempt#2013.year,.98030514
2502.zempt#2014.year,1.2249556
2502.zempt#2015.year,1.2525283
2502.zempt#2016.year,.63464671
2502.zempt#2017.year,1.2247816
2502.zempt#2018.year,1.6228118
